scramble eggs_eggs,milk
turkeyCurry EWBp77_produce_garlic,produce_ginger,produce_onions,grocery_canolaOil,grocery_cinnamon,grocery_coconutMilk,grocery_cumin,grocery_curryPowder,grocery_paprika,grocery_goldenRaisins,grocery_canCrushedTomatoes,protein_turkey,dairy_yogurt
sweetAndSourStuffedCabbage EWBp78_produce_cabbage,produce_ginger,produce_onions,produce_oranges,grocery_cayennePepper,grocery_cookingSpray,grocery_pepper,grocery_redWineVinegar,grocery_sweetner,grocery_canTomatoSauce,grocery_tomatoPaste,dairy_ricottaCheese,dairy_swissCheese,dairy_eggSubstitute
asianTurkeyFilledCabbageDumpling EWBp80_produce_cabbage,produce_garlic,produce_ginger,produce_jalapeno,grocery_redPepperFlakes,grocery_sesameOil,grocery_soySauce,grocery_sweetner,grocery_water,"__turkeyGround"
szechuanTurkeyAndEggplant EWBp82_produce_cabbage,produce_eggplant,produce_garlic,produce_ginger,produce_jalapeno,produce_onions,produce_scallions,grocery_cookingSpray,grocery_redPepperFlakes,grocery_riceVinegar,grocery_sesameOil,grocery_soySauce,grocery_sweetner,grocery_water,protein_groundTurkey,dairy_eggWhiteSubstitutue
teriyakiTurkeyBurgers EWBp83_produce_garlic,produce_ginger,produce_onions,produce_scallions,grocery_cookingSpray,grocery_pepper,grocery_riceVinegar,grocery_sesameOil,grocery_drySherry,grocery_soySauce,grocery_sweetner,protein_groundTurkey
koreanBBQMeatballsAndSauce EWBp84_produce_garlic,produce_ginger,produce_scallions,grocery_applesauce,grocery_breadcrumbs,grocery_cookingSpray,grocery_redPepperFlakes,grocery_riceVinegar,grocery_sesameOil,grocery_soySauce,grocery_sweetner,protein_groundTurkey,dairy_eggSubstitute
turkeyLoafWithHorseradishSauce EWBp86_grocery_driedCelery,grocery_chickenBrothConcentrate,grocery_cookingSpray,grocery_horseradish,grocery_driedOnion,grocery_parsley,grocery_pepper,grocery_canTomatoJuice,protein_groundTurkey,dairy_eggSubstitute,dairy_sourCream
sausageAndMushroomsWithRabe EWBp87_produce_broccoliRabe,produce_garlic,produce_mushrooms,grocery_chickenBroth,grocery_cookingSpray,grocery_pepper,grocery_redPepperFlakes,grocery_salt,protein_turkeySausageSweet
sausageAndPeppersLight EWBp88_produce_bellPepper,produce_garlic,produce_onions,grocery_basil,grocery_cookingSpray,grocery_fennelSeeds,grocery_marjoram,grocery_oregano,grocery_pepper,grocery_redPepperFlakes,grocery_canCrushedTomatoes,grocery_tomatoPaste,protein_groundTurkey
quickNoBeanTurkeyChili EWBp90_produce_bellPepper,produce_jalapeno,produce_onions,grocery_chiliPowder,grocery_cinnamon,grocery_cocoaPowder,grocery_cookingSpray,grocery_cumin,grocery_pepper,grocery_salt,grocery_sweetner,grocery_canWholeTomatoes,grocery_appleCiderVinegar,protein_groundTurkey,dairy_cheddarCheese
noNoodleZucchiniLasagna EWBp91_produce_garlic,produce_mushrooms,produce_onions,produce_parsley,produce_zucchini,grocery_cookingSpray,grocery_nutmeg,grocery_oregano,grocery_salt,frozen_spinach,protein_groundTurkey,dairy_mozzarella,dairy_Parmesan,dairy_ricottaCheese,dairy_skimMilk
unpastaLasagnaWithTomatoSauce EWBp93_produce_basil,produce_garlic,produce_onions,produce_zucchini,grocery_cookingSpray,grocery_pepper,grocery_redWine,grocery_salt,grocery_sweetner,grocery_canDicedTomatoes,grocery_tomatoPaste,protein_turkeySausageSweet,dairy_mozzarella,dairy_Parmesan,dairy_ricottaCheese
sausageAndRicottaGiardinera EWBp95_produce_basil,produce_bellPepper,produce_garlic,produce_mushrooms,produce_onions,produce_zucchini,grocery_cookingSpray,grocery_pepper,grocery_redPepperFlakes,grocery_redWine,grocery_salt,grocery_canDicedTomatoes,protein_turkeySausageSweet,dairy_mozzarella,dairy_ricottaCheese
braisedPorkTenderloin EWBp97_produce_garlic,produce_leeks,grocery_cookingSpray,grocery_horseradish,grocery_dijonMustard,grocery_pepper,grocery_salt,grocery_sweetner,grocery_thyme,grocery_whiteWine,protein_porkTenderloin
braisedPorkWithApplesAndOnions EWBp98_produce_grannySmithApples,produce_garlic,produce_ginger,produce_onions,grocery_cinnamon,grocery_cookingSpray,grocery_nutmeg,grocery_sweetner,grocery_water,protein_porkTenderloin
indonesianBraisedPork EWBp98_produce_ginger,produce_limes,produce_shallots,grocery_asianChiliPaste,grocery_coconutMilk,grocery_cookingSpray,grocery_soySauce,protein_porkTenderloin
madeiraGlazedPork EWBp100_produce_shallots,grocery_balsamicVinegar,grocery_brownSugarSweetner,grocery_cookingSpray,grocery_madeiraWine,grocery_pepper,grocery_salt,grocery_vanillaExtract,protein_porkTenderloin
medallionsOfPorkWithMushrooms EWBp101_produce_mushrooms,produce_shallots,grocery_chickenBrothConcentrate,grocery_cookingSpray,grocery_wholeGrainMustard,grocery_pepper,grocery_salt,grocery_thyme,grocery_whiteWine,protein_porkTenderloin,dairy_sourCream
porkTenderloinWithFreshPlumSauce EWBp102_produce_garlic,produce_jalapeno,produce_onions,produce_plums,grocery_allSpice,grocery_balsamicVinegar,grocery_cayennePepper,grocery_cookingSpray,grocery_groundGinger,grocery_nutmeg,grocery_paprika,grocery_soySauce,grocery_sweetner,grocery_thyme,grocery_tomatoPaste,protein_porkTenderloin
porkWithOnionsAndCapers EWBp104_produce_onions,grocery_capers,grocery_chickenBrothConcentrate,grocery_cookingSpray,grocery_pepper,grocery_salt,grocery_vermouth,grocery_water,protein_porkTenderloin,dairy_sourCream
thaiCaramelPork EWBp105_produce_shallots,grocery_cayennePepper,grocery_coconutMilk,grocery_cookingSpray,grocery_fishSauce,grocery_riceVinegar,grocery_sweetner,protein_porkTenderloin
smotheredPorkChops EWBp106_produce_garlic,produce_onions,grocery_cayennePepper,grocery_chickenBroth,grocery_cookingSpray,grocery_garlicPowder,grocery_hotSauce,grocery_onionPowder,grocery_paprika,grocery_pepper,protein_porkTenderloin,dairy_buttermilk,dairy_sourCream
ciderGlazedPorkChops EWBp107_grocery_appleCider,grocery_chickenBroth,grocery_cookingSpray,grocery_dijonMustard,grocery_sweetner,grocery_appleCiderVinegar,protein_porkTenderloin
smokedPorkChopsWithPineapple EWBp108_produce_onions,produce_pineapple,grocery_balsamicVinegar,grocery_chickenBrothConcentrate,grocery_chiliPowder,grocery_cookingSpray,grocery_sweetner,protein_porkTenderloin
